Country,Year,CO2 Emissions (Mt CO2e),Age dependency ratio(%),Trade (% of GDP),GDP growth (%),Coeficiente inverso de variacion,HIRSCHMAN-HERFINDAHL INDEX (HHI), Adjusted net saving (%),Goverment Debt (%),Air pollution (%),Intensidad de CO2 (kg CO2 per),Renewable energy consumption (%),Energy intensity (MJ),Renewable freshwater (cubic meters),Natural resources rents (%),Water productivity ($ GDP por metro cubico),Acces electricity (%),Using drinking water (%),Employment (%),indice de Gini,Mortaly rate (%),Life expentacy (years),Poverty gap (%),Primary completion (%),Sanitation services (%),"School  enrollment, gender parity index",LABOR FORCE PARTICIPATION  (% POINTS),Years scholling,Indice de crecimiento verde,Students abilities,Educational attainment (%),Dwellings without basic facilities (%),Housing expenditure (%),Adjusted net national ($),Household net wealth (%) ,Unemployed long term (%),Personal earning  ($),Quality of support network (%),Stakeholder engagement,Life satisfaction,"Homicide rate (por cada 100,000)",Time to leisure ande personal care
Australia,2008,404.2851,28.60648209,42.8467764,0.015311501,2.8782704,1031.308377,6.32460524,18.1805466,33.4924204,0.356717081,6.8,5.38,23153.81394,8.526419382,74.54505222,100,99.84255512,62.719,35.4,4.4,81.39512195,0.4,99.25,99.99474252,,14.097,11.938,4.486610088,,70.08999634,1.1,21.78319566,44512.59603,332.0227,18.71584947,54149,94.18894283,2.79,,1.228358246,20.83
Australia,2009,410.2594,28.4224574,45.74086303,0.015311501,1.509589427,1130.082168,9.539191068,23.86865497,33.23169669,0.355264862,7.1,5.28,22681.53561,4.967773384,82.32684816,100,99.86367471,61.806,,4.2,81.54390244,0.4,99.27,99.99524087,,13.577,11.987,4.524292652,527,70.86000061,1.1,22.1707784,44512.59603,361.7391,20.57865079,53644,,2.79,,1.214169758,20.83
Australia,2010,415.2731,28.29128644,40.52158899,0.006420435,1.269378317,1324.778722,7.471094833,28.66339754,33.10133483,0.351796667,8.2,5.17,22331.40808,8.066600256,89.59658462,100,99.88314449,61.998,34.7,4,81.69512195,0.4,99.58,99.99573923,,13.766,12.034,4.453583631,,72.80000305,1.1,22.49656993,44512.59603,346.5415,19.18317166,55536,95.35370896,2.79,,1.049085936,20.83
Australia,2011,412.8096,28.23998248,41.85113203,0.009939465,1.206057305,1416.099388,8.760957985,30.09539963,32.97097298,0.341489792,8.3,5.06,22023.25297,8.723520359,91.47552171,100,99.89196182,62.114,,3.8,81.89512195,0.4,99.3,99.99623759,,13.323,12.116,4.557037238,,74.05999756,1.1,22.945093,44512.59603,320.8005,19.32039902,57361,96.66177958,2.79,7.344625,1.109270577,20.83
Australia,2012,413.3193,28.29143837,43.1642965,0.021182553,1.165167505,1455.714557,10.61291762,39.44166137,36.32342315,0.329024499,8.3,4.82,21642.10339,5.298138804,79.165372,100,99.90076959,61.766,32.6,3.6,82.04634146,0.4,99.32,99.99673594,,12.98,12.296,4.426768216,527,76.48000336,1.1,23.35517575,44512.59603,355.5973,19.60439926,57752,93.85969281,2.79,,1.069106094,20.83
Australia,2013,405.6523,28.38574661,41.27287902,0.008513647,1.068135004,1742.827894,9.776171304,37.56000081,30.65454271,0.314731237,9.2,4.79,21272.79729,5.320115741,67.31171796,100,99.90958939,61.283,,3.5,82.14878049,0.4,99.34,99.9972343,,12.732,12.019,4.502840343,,72.04000092,1.1,23.45539559,44512.59603,364.7715,19.81607171,57579,92.72354479,2.79,,1.060065404,20.83
Australia,2014,396.2575,28.46760857,42.48402303,0.010763633,1.98304444,1740.510602,8.310971374,41.7223305,28.27405946,0.299664987,9.3,4.64,20957.85401,4.760939437,71.62080904,100,99.96147641,60.783,34.4,3.4,82.3,0.4,99.02,99.99773265,,12.334,12.167,4.421866469,,73.59999847,1.2,23.43543889,44512.59603,382.2445,19.72302516,58102,91.9743773,2.79,7.284,1.035382845,17.12
Australia,2015,400.5424,28.55568903,41.66393193,0.007299643,2.078627744,1597.379858,7.286921638,46.48203846,27.10551384,0.296413435,9.4,4.53,20658.38526,3.237654745,146.5614287,100,99.9700009,61.074,,3.3,82.4,0.4,99.37,99.99823101,0.925260007,12.025,12.246,3.765305136,521,75.55000305,1.2,23.33132803,44512.59603,402.1245,19.83605328,57744,95.10592674,2.79,7.313,0.990754227,17.12
Australia,2016,408.5061,28.63428528,40.97407948,0.011668154,2.168721022,1568.429068,5.27620441,54.67798692,26.04666675,0.294189003,9.6,4.4,20338.22047,4.080987895,130.7148503,100,99.96996668,61.175,33.7,3.2,82.44878049,0.4,99.39,99.99872937,0.925170004,11.317,12.352,3.677668773,,76.41999817,1.2,23.40312355,44512.59603,428.5137,19.25786685,57885,93.60833457,2.79,7.284,0.938183173,17.12
Australia,2017,410.8371,28.64672373,42.20373168,0.006090166,3.80381797,1679.043008,6.450644404,53.31643582,24.90420852,0.289273438,9.9,4.46,20006.02783,5.06804774,117.7776049,100,99.96993751,61.537,,3.2,82.5,0.4,99.41,99.99922772,0.937539995,10.914,12.422,3.805628421,,77.26000214,1.2,23.61035972,44512.59603,439.1164,19.89017784,57619,94.97418574,2.79,7.2721,0.845860834,17.12
Australia,2018,409.2067,28.60156212,43.73606508,0.013508661,3.194017789,1806.45009,6.094706413,54.50306589,24.89358377,0.280063907,9.8,4.37,19708.96587,5.227520639,118.5011368,100,99.96989377,62.232,34.3,3.2,82.74878049,0.4,99.43,99.99972608,0.968850017,10.551,12.554,3.685984121,510,78.33000183,1.2,23.71223339,44512.59603,428.0391,19.35633974,57843,93.28254345,2.79,7.228,0.884735038,17.12
Australia,2019,407.8604,28.53660545,46.18750189,0.006730672,2.73346878,1973.364992,6.294749306,60.2260852,,0.27320962,10.3,4.36,19419.90839,5.748861265,141.3681699,100,99.96985437,62.655,,3.2,82.9,0.4,99.45,100,0.964070022,10.269,12.657,3.83624566,,79.05000305,1.2,24.91454567,44512.59603,461.0253,,58620,94.02827327,2.85,7.2228,0.887322994,17.12
Australia,2020,392.5191,28.50884989,44.66445607,-0.013439774,0.457494153,2212.16945,7.157970778,69.32157486,,0.263247907,11.2,4.44,19181.84892,6.093158656,171.9795347,100,99.96981765,60.825,0.319,3.2,83.2,0.4,99.47,100,0.979290009,9.955,12.727,3.782111236,,80.05000305,1.2,25.0482226,44512.59603,469.6708,,60377,93.44684752,2.85,7.1835,0.860925459,17.12
Australia,2021,384.6772,28.41921884,40.30248027,0.019673998,0.522909412,2169.644512,6.417771798,70.01091177,,0.252654673,12.3,4.1,19154.84167,13.35787528,133.0892836,100,99.96977467,62.738,,3.2,83.3,0.4,99.48,100,,9.535,12.727,4.65760142,503,81.12999725,1.2,24.13026983,44512.59603,510.6896,,60681.49855,91.64680452,2.85,7.1621,0.744567483,17.12
Australia,2022,374.8785,28.18937325,45.82177023,0.029241006,0.694503958,1564.537082,,58.04669641,,0.23619847,,4.12,,,,100,99.96973139,64.354,,3.2,83.2,0.4,99.5,100,,8.917,12.727,4.443032213,487,81.66999817,1.2,23.17948605,44512.59603,,,59407.88998,93.81475996,2.85,7.0946,,17.12
Australia,2023,373.6164,27.9168394,49.22518406,0.009410146,0.645282616,,,,,0.227570311,,,,,,100,,64.707,,,,0.4,99.52,100,,8.958,,2.168914171,,78.96383667,,23.17948605,44512.59603,,,,,,7.0569,,
Australia,2024,,,,,,,,,,,,,,,,100,,,,,,,,100,,,,1.304769293,,,,,44512.59603,,,,,,,,
Austria,2008,75.2369,22.60056119,102.7437044,0.011362113,2.369442701,1068.999613,16.38952451,72.41046751,99.14829843,0.205185612,29.7,3.15,6609.388504,0.258181875,104.4144002,100,99.99999831,57.558,30.4,3.8,80.43170732,0.4,99.95,99.98932676,0.965600014,14.078,11.468,3.577744948,,72.47000122,,20.91224773,37553.09224,564653,24.322753,62081,92.66891027,1.21,,0.697020591,19.07
Austria,2009,68.0563,22.26304,87.6004931,-0.038384931,0.357409576,1099.594063,12.27164782,83.84685104,99,0.192506517,31.3,3.12,6592.097657,0.167599741,100.9825407,100,100,57.107,31.5,3.7,80.33170732,0.5,99.94,99.98757244,0.965240002,13.233,11.674,3.503454893,511,75.80999756,,21.18942204,35583.92891,395.7118,21.68101311,63135,87.11567751,1.21,,0.611295628,19.07
Austria,2010,73.7958,21.95048093,99.64488255,0.015645336,0.353524013,1124.499894,12.95280625,86.32483145,99,0.205032473,31.1,3.26,6576.269662,0.216291378,103.1296559,100,100,57.343,30.3,3.6,80.5804878,0.4,99.94,99.98583424,0.968720019,12.908,11.715,3.522945769,,76.55999756,1.039301418,21.20432843,36171.81241,408.4862,25.44637575,62831,94.57372912,1.21,,0.729418239,19.07
Austria,2011,72.1947,21.65973919,105.7750984,0.025811032,0.344209321,1122.958121,13.46486738,86.24200229,98.45154185,0.194878995,31.6,3.07,6554.139636,0.244690494,107.3448819,100,99.99999942,57.558,30.8,3.5,80.98292683,0.4,99.93,99.98411154,0.970080018,12.358,11.711,3.538971452,,76.43000031,0.420384249,21.14797256,36601.33735,406.3002,26.25585049,62159,93.32736951,1.21,7.227316,0.917628046,19.07
Austria,2012,69.0271,21.44774759,105.8407914,0.001704886,0.130039223,1082.547914,12.65487565,91.19094982,99.25717078,0.18516523,34.4,3.04,6524.324878,0.238508218,109.2503611,100,99.99999666,57.67,30.5,3.3,80.93658537,0.5,99.93,99.98230788,0.971570015,11.919,11.752,3.537924845,,76.98000336,0.420870259,21.46043958,36290.75942,407.8979,24.91250916,62515,93.75363413,1.21,,0.960895526,19.07
Austria,2013,69.6127,21.31778316,104.985374,-0.008369069,-0.029005634,1045.938632,12.1171044,88.43884261,97.41014309,0.187205477,34.6,3.08,6485.984436,0.218675366,110.2327574,100,99.99999786,57.538,30.8,3.2,81.13658537,0.3,99.93,99.98045265,0.972970009,11.677,11.788,3.546016828,,77.30999756,0.204247935,21.76526765,35999.2221,427.0953,24.59289244,62568,94.79570544,1.21,,0.71937873,19.07
Austria,2014,65.929,21.24637752,104.49674,-0.000285803,0.50538887,999.3883693,12.49422781,96.67969242,95.76835515,0.175969138,35.7,2.95,6435.491337,0.191846541,112.3612326,100,100,57.16,30.5,3.1,81.4902439,0.2,99.93,99.97858804,0.97232002,11.158,12.014,3.570011896,,78.43000031,1.058260165,21.92236624,36036.89547,432.6374,27.20212028,62801,89.39431157,1.21,7.2,0.491454225,19.07
Austria,2015,67.3691,21.27459217,103.1175817,0.001742595,0.321438448,983.698002,12.32336357,95.69179213,93.78567197,0.177499125,34.8,2.99,6363.752805,0.134711076,115.1690787,100,99.99999882,57.115,30.5,3.1,81.1902439,0.6,99.93,99.9767048,0.972829998,11.101,12.077,3.561067968,506,79.01000214,0.489147054,22.07170702,35811.68578,439.2231,29.21544632,63231,92.5197759,1.58,7.119,0.509116601,19.07
Austria,2016,67.7825,21.39915738,101.5734946,0.010188773,0.150659616,1032.698502,13.74124111,95.21178039,91.47446535,0.174885608,34.6,2.96,6295.306174,0.111042441,119.0118491,100,100,57.427,30.8,3,81.64146341,0.6,99.93,99.97481421,0.971989989,10.969,12.115,3.574917158,,79.37000275,0.233844318,22.12323741,36760.94187,438.7894,32.28868091,63860,92.6318596,1.58,7.006,0.618097447,19.07
Austria,2017,70.1063,21.52367802,105.5560668,0.015643071,0.404467422,921.2498919,12.83333684,89.90854142,85.01593469,0.176862485,34,2.95,6251.729171,0.121957004,123.1871123,100,100,57.703,29.7,3,81.64390244,0.3,99.93,99.97291068,0.971729994,10.892,12.159,3.608814624,,79.66000366,0.395943876,22.27852156,36608.67985,446.8202,33.42543436,63856,90.17646789,1.58,7.1394,0.795680953,19.07
Austria,2018,67.1868,21.59933235,108.37797,0.019862627,1.08618034,989.07742,13.07698638,84.66373068,85.05153767,0.165388622,34.1,2.8,6221.352791,0.140755073,127.7917974,100,99.99999932,58.298,30.8,2.9,81.69268293,0.5,99.94,99.97281427,0.97408998,11.256,12.208,3.621863514,495,80.0708313,0.583174266,22.24608644,37157.24445,444.5823,28.89874481,64101,90.56483754,1.58,7.246,0.972794281,19.07
Austria,2019,68.5332,21.643946,108.2072849,0.013035034,1.780254732,929.5181437,13.69741471,83.42253786,,0.165793319,34,2.81,6193.749493,0.110022913,131.6449903,100,99.99999659,58.514,30.2,2.9,81.89512195,0.5,99.94,99.97270989,0.980939984,11.03,12.257,3.843371524,,80.66999817,0.488429796,22.50851957,37545.83148,456.1203,25.13284037,64623,95.5641677,1.58,7.2942,0.867123025,19.07
Austria,2020,62.5998,21.66434677,99.94821411,-0.067063938,-0.045381063,953.2997489,12.9896215,100.0567896,,0.161653082,35.8,2.84,6168.087794,0.070850499,123.3273237,100,100,57.651,29.8,2.8,81.19268293,0.7,99.95,99.97260576,0.98593998,10.526,12.306,3.776041608,,80.94402313,0.096933061,25.41378304,34970.56497,496.9725,24.53209904,64648,92.33985793,1.58,7.2678,0.729699453,19.07
Austria,2021,66.1753,21.70055804,111.0322687,0.043397586,0.11836293,953.4588163,12.7352569,94.40788997,,0.163066608,36,2.86,6141.273635,0.117855774,129.2412748,100,100,57.202,30.7,2.7,81.1902439,0.4,99.95,99.97248981,,10.815,12.306,4.586407372,490,81.45424652,0.464372942,25.70515808,36093.58792,526.3032,31.52394204,65402.3163,86.21585586,1.58,7.163,0.728529507,19.07
