Pais,Fecha,Emisiones_CO2,Ratio_Dependencia,Comercio_PIB,Crecimiento_PIB,Coef_Inverso_Variacion,Indice_HHI,Ahorro_Neto_Ajustado,Deuda_Gobierno,Polucion_Aire,Intensidad_CO2,Consumo_Energia_Renovable,Intensidad_Energetica,Agua_Dulce_Renovable,Renta_Recursos_Naturales,Productividad_Agua,Acceso_Electricidad,Consumo_Agua_Potable,Empleo,Indice_Gini,Tasa_Mortalidad,Esperanza_Vida,Finalizacion_Primaria,Servicios_Saneamiento,Paridad_Genero_Educacion,Participacion_Laboral,Escolaridad,Indice_Crecimiento_Verde,Habilidades_Estudiantes,Logros_Educativos,Viviendas_Sin_Servicios,Gastos_Vivienda,Ajuste_Neto_Nacional,Desempleo_Largo_Plazo,Personal_earning,Calidad_Red_Apoyo,Compromiso_Partes_Interesadas,Tasa_Homicidios,Tiempo_Ocio_Cuidado_Personal
Alemania,2008,830.36,21.02,76.1,0.01,1.49,368.62,13.21,64,99.18,0.26,10.2,3.57,1303.13,0.31,82.38,100,100,54.91,30.8,3.6,79.74,99.99,99.22,0.98,14.65,13.76,3.53,516,80.16,0.47,25.29,31670.42,52.52,52442,92.8,1.94,1.02,16.44
Alemania,2009,768.55,20.93,66.12,-0.05,0.21,373.77,9.69,64.8,99.39,0.25,10.7,3.53,1306.43,0.16,76.21,100,100,54.95,30.5,3.5,79.84,99.99,99.22,0.96,13.62,13.83,3.49,516,80.62,0.47,25.3,30308.39,45.48,52453,92.8,1.94,0.99,16.44
Alemania,2010,815.38,20.83,73.86,0.04,0.36,372.04,11.49,73,99.5,0.26,11.6,3.57,1308.44,0.2,95.48,100,100,55.15,30.2,3.5,79.99,99.99,99.22,0.96,14.04,13.85,3.51,517.33,81.13,0.47,25.27,31501.18,47.28,52912,92.8,1.94,0.98,16.44
Alemania,2011,788.55,20.61,78.41,0.06,0.41,371.28,13.6,81,99.6,0.24,12.5,3.26,1332.92,0.23,89.73,100,100,56.55,30.6,3.4,80.44,99.99,99.22,0.96,12.7,13.93,3.54,518.67,81.72,0.47,24.79,33322.76,47.88,53980,92.8,1.94,0.91,16.44
Alemania,2012,800.46,20.3,79.3,0,0.28,373.58,12.41,78.3,99.45,0.24,13.6,3.27,1330.42,0.16,97.59,100,100,56.85,31.1,3.4,80.54,99.99,99.22,0.96,12.95,13.98,3.54,520,82.05,0.47,24.86,33238.3,45.36,54699,92.8,1.94,0.81,16.44
Alemania,2013,818.28,20.06,77.56,0,0.24,366.71,11.93,74.5,98.3,0.25,13.6,3.32,1326.79,0.13,130.16,100,100,57.16,31.5,3.3,80.49,99.99,99.22,0.96,12.51,14.01,3.55,521.33,82.31,0.47,25.23,33293.49,44.66,55215,92.8,1.94,0.83,16.44
Alemania,2014,779.22,20.01,76.83,0.02,0.98,377.1,13.21,71.2,97.85,0.23,14,3.11,1321.27,0.1,107.57,100,100,57.43,30.8,3.3,81.09,99.99,99.22,0.97,12.13,14.04,3.58,522.67,83,0.47,24.72,33970,44.34,56141,92.8,1.94,0.87,16.44
Alemania,2015,785.39,20.1,77.79,0.01,0.75,388.02,13.74,68.3,95.73,0.23,14.6,3.08,1309.88,0.08,114.76,100,100,57.44,31.7,3.3,80.64,99.99,99.22,0.97,11.82,14.08,3.58,524,83.08,0.47,24.51,34656.44,43.98,57431,92.8,1.78,0.83,16.44
Alemania,2016,789.71,20.33,75.98,0.01,1.23,371.2,14.01,64,95.95,0.23,14.2,3.02,1299.35,0.06,143.28,100,100,58.52,31.4,3.3,80.99,99.99,99.22,0.96,11.43,14.13,3.61,519,83.01,0.18,24.23,35483.5,41.09,58311,92.8,1.78,1.17,16.44
Alemania,2017,774.95,20.62,77.57,0.02,1.49,367.33,14.45,60.8,89.15,0.22,15.2,2.95,1294.51,0.07,129.64,100,100,58.93,31.3,3.2,80.99,99.99,99.23,0.96,11.26,14.11,3.64,514,82.98,0.66,24.13,36161.82,41.91,58924,92.8,1.78,0.98,16.44
